ftype,bid,bname,city
"Comfort Food",e8Gt-GSedFlk32le0ethHQ,"Hookmeup Gourmet Sandwiches",Phoenix
French,e8iko4-Z6WJ5QdNg0Dm6tA,"Cafe Pan","Las Vegas"
"Comfort Food",e8kqqWU9247Nn5VAF5sDkQ,"Fuel Pizza Cafe",Charlotte
"Comfort Food",e8O-nfcGk_z_A0KGgkbmBA,Subway,Phoenix
"Comfort Food",e8SKP917u2g0MTAaoGkCnA,"Taco Bell",Glendale
"Comfort Food",E8uHpUKu1eRx4V5gug1TpA,"Papa Murphy's",Goodyear
French,e8Xh5J6w4UngNoiRc5hLNQ,"Gourmet Asian Fusion",Montréal
"American and British",e8zOZr3nMejZy4Ei9eCcaw,"Johnny Rockets","Las Vegas"
"Comfort Food",e8zOZr3nMejZy4Ei9eCcaw,"Johnny Rockets","Las Vegas"
"Comfort Food",E90yZTPx9M3XeUNyfAEcCw,Subway,"Las Vegas"
Chinese,E93aiEHvf2secePlIeCxGg,"Chen's Chinese Bistro",Chandler
"Comfort Food",e98N1lyg3zsPohSEI3MiJA,"Church's Chicken",Mesa
"Southeast Asian",E99htvbbJwD_R31C8urmoA,"My-Thai Restaurant",Waterloo
Halal,e9Ee1E-hdx2v91NUw96eIw,"Khorasan Kabab",Montréal
"Comfort Food",e9Fi9SN7moLeXVJx4u_qzw,"Los Mexican Friends",Phoenix
"Comfort Food",e9I1Z1RofzajO6-s9tKqKw,"Gus's New York Pizza & Bar",Goodyear
Indian,E9IDR5S1JT4LUjN2VLp4Bw,"Peg N Tikka",Montréal
"Southeast Asian",E9IDR5S1JT4LUjN2VLp4Bw,"Peg N Tikka",Montréal
"American and British",e9JyvLEZMcTVKh31oyZkOg,"Ruby Tuesday",Concord
"Comfort Food",e9JyvLEZMcTVKh31oyZkOg,"Ruby Tuesday",Concord
Chinese,E9Kwi0vS_zbsJ8NLThcAqw,"Délice Oriental",Montréal
"Comfort Food",e9Mf-7l0iDLHtcVIWt6hQQ,"Redline Pizza",Mesa
Italian,e9Mf-7l0iDLHtcVIWt6hQQ,"Redline Pizza",Mesa
"Comfort Food",e9nN4XxjdHj4qtKCOPq_vg,"Lee's Sandwiches",Chandler
"Comfort Food",e9QRvkzssPNRmBLlDem9ZQ,"Zookz Sandwiches",Phoenix
"Comfort Food",e9rkmFxZgEx73ps1UNbtNA,"The Saucy Tomato","Las Vegas"
"Southeast Asian",E9T2XZsLKgrPb6yT9brVzA,"Restaurant Chalet Thai",Sainte-Anne-De-Bellevue
"Comfort Food",e9TeHrdVJe-NaAaEXWapfQ,"Los Molcajetes","Las Vegas"
"Comfort Food",e9VNs17K6yNThwIt35baWg,"Resto Burgers & Benedicts",Montréal
"Comfort Food",e9WK4peZfqgUN0BOp-CWAQ,Subway,Charlotte
Chinese,E9ZsPtGovfEPHlMHkDdlQA,Noodles,"Las Vegas"
"Japanese and Korean",E9ZsPtGovfEPHlMHkDdlQA,Noodles,"Las Vegas"
"Comfort Food",eA-qHFglOMhHwXcnHBRpNg,"Flicka's Baja Cantina",Scottsdale
Italian,eA0UC3HFqhHzXS9ev7MSYQ,"Crust Chandler-Simply Italian",Chandler
"American and British",ea1oDRrNCpEFGeAPmwgbiw,"Toby Carvery",Edinburgh
"Japanese and Korean",ea3whivAzTgVReb155HWLw,"Tri Express",Montréal
"Comfort Food",EA6Ym63TtF9ntTrkZgkyJA,"Italy Italy",Karlsruhe
Italian,EA6Ym63TtF9ntTrkZgkyJA,"Italy Italy",Karlsruhe
"American and British",EA6zWRssCMuZb3LDaZob5w,"New York City Bar & Grill","Las Vegas"
"Comfort Food",EA9oDV0At28vFKIKmCB36A,Jaburritos,"Las Vegas"
"Japanese and Korean",EA9oDV0At28vFKIKmCB36A,Jaburritos,"Las Vegas"
Italian,eaALRpmBxLeBl17U2LrRHg,"Toscano's Grill",Goodyear
Indian,EaEGBC6wpkhpRu38PBTg4Q,"Thavas Boite à Curry",Montréal
"Southeast Asian",EaEGBC6wpkhpRu38PBTg4Q,"Thavas Boite à Curry",Montréal
"Southeast Asian",eal7Vfv39cAUVIyiJJ--Jw,"New Saffrani",Edinburgh
Italian,ealuKGLqWQ8VsOU12hq4sA,"Cafe Roma",Tempe
"American and British",EAMPV2fgs9cU21MXOgv3Ig,"Mimi's Cafe",Scottsdale
"Comfort Food",EANl3lxHNKBZj-_-zOrgDw,"Burger King",Scottsdale
"Comfort Food",eAtofUOlEpoQTfO1ybNhyg,A&W,Montréal
"Japanese and Korean",eAV3ovRkYKWERTl9p33RQQ,"Sushi 999",Montréal
"American and British",eb-d7bMXnzO8DGWJ5x552g,IHOP,Phoenix
"American and British",EbhnT9RcTyyGNBp1s2NQZQ,Harvest,Madison
"Comfort Food",EbMnI7T81l7xQ0tjiSZV-w,"Domino's Pizza",Charlotte
"Comfort Food",ebMNlzXkEl2lOVuXjgQgmA,McDonald's,Karlsruhe
"Comfort Food",eBPTPMi_yJGDOs2ca4u8DQ,"El Pollo Loco","Las Vegas"
"Comfort Food",EBrwIYYtBdGQ5X3zuvM1qg,"BRGR Truck",Pittsburgh
Chinese,EBtQP_e-9kt5jjQfm6RBGw,"Les Delices De Chine",Laval
"American and British",EBwv1DBGKsfdNZEYL70Dqw,"Calistro California Bistro",Scottsdale
"Comfort Food",EByOF2mfGDvOYorPOCJW2Q,"Taco Bell","Las Vegas"
"Comfort Food",EB_BXoVtVeUgo0sVMSkI6Q,"Long John Silver's","Las Vegas"
"Comfort Food",eC00lYO6VrAh_37XBYY4_g,"Moe's Southwest Grill",Charlotte
"Comfort Food",ec1gbPLxYhUYDu_1h4c7dQ,"Cafe Sababa",Champaign
Chinese,eC4iEcRR3p5NLq9Zf80ZGg,"Imperial Garden Chinese Restaurant",Madison
"Comfort Food",Ec6g1-_FVSrkrkdPz9sMGw,Quiznos,Charlotte
"Comfort Food",Ec7aCc8MdT0gGpZeoVpPwA,"La Guadalupe Mexicain",Montréal
Halal,Ec7XKCltERzFB2-K6rqDSw,"B52 Cafe",Pittsburgh
"Japanese and Korean",EC9WB-iVjd28B6R6KIZ8TA,"Teharu Sushi",Tempe
"Comfort Food",Ecb1YI3GJoy39QAiH63xPQ,"Tim Hortons",Waterloo
Chinese,ECbznso003XMWuS5jfClyw,"Shanghai Lilly","Las Vegas"
"American and British",EcCzmA_FJDGRgRfhjCOMBQ,"The Beehive Inn",Edinburgh
"Comfort Food",eCDUWNT1iQHrhb8JzK1M0g,"Carl's Jr.",Chandler
"Comfort Food",EcfIpMbI8316uY0wASFsGQ,"Cafe Fiesta",Charlotte
"Comfort Food",ECgAFrTCVNvTdt2P9Ze73g,"Dani's Pizzeria",Lasalle
"Comfort Food",ECH0rJpm6jBPiA-T3cJcig,"Pizza Patron","Las Vegas"
"Southeast Asian",ecI5Vq2uEMbFbZIHOBosYw,"Koolthai Restaurant","Las Vegas"
"Japanese and Korean",ecjooyT_kWHpMZTUPvsdHg,"Arata Sushi","Las Vegas"
"Comfort Food",ecJPRm8Nzx84IBmqI3Xy2w,McDonald's,Monona
Spanish,EcloJkwVEbBLO1umpvloOg,Grillado's,Montréal
"American and British",ECMKdd1A5779wrLhbVtCvw,"Happy Grill",Charlotte
"Comfort Food",ecnfCrDPQBAjtqR-Gc3vng,"Big Daddy's Pizza","Las Vegas"
"American and British",ECO2Bi8a8sPjW6f7JMbhdg,"Biscayne Steak, Sea and Wine","Las Vegas"
"American and British",ECpcRXUTAQTIyfdUEXTwpw,Snooze,Scottsdale
"Comfort Food",ECpcRXUTAQTIyfdUEXTwpw,Snooze,Scottsdale
Italian,ecpYgTTQuXzmYNGxGTvbhw,"Lupo by Wolfgang Puck","Las Vegas"
"Comfort Food",EcrG2b33BWusw_h66BW78A,KFC,Glendale
"Japanese and Korean",ECRjdXYLhGzQjCoZKeq6qg,"Tokyo Sushi House II","North Las Vegas"
"American and British",eCRzRDBnk6FU1xdUvUl_jg,"The Shore Club","Fort Mill"
"American and British",eCTNypNu7MUby4NwRP9XQQ,"Indigo Cafe",Charlotte
"Comfort Food",eCTNypNu7MUby4NwRP9XQQ,"Indigo Cafe",Charlotte
"American and British",EcUM3ONkY1RUCB1R1_4FrA,"Daily Kitchen Eatery and Rotisserie","Las Vegas"
"Japanese and Korean",eCuoZK0tK5MxYNpATdRajg,"Yo! Sushi - Harvey Nichols Edinburgh",Edinburgh
Italian,eCuQ6JHogw4oOfgOG7nPgA,"Villa Pizza","Las Vegas"
"Comfort Food",EcVXqM7yZZeOO6jrLR-_xA,"Carl's Jr Restaurants","Las Vegas"
"American and British",EcWQ69EEVfWpEeZniAx0IA,"Blue Coyote Cantina",Scottsdale
Chinese,ECWSOvqjPP8IVuTs_BM8bQ,Chopstix,Henderson
"American and British",Ed1d7DhO3J0EE7W149GTxQ,"What The Hell Bar & Grill",Mesa
"American and British",eD2np2oaT6GOoa4H2FUiaQ,"Grill 55","Las Vegas"
"American and British",ED5oeL6iFodGNcfHtobQGA,"Tempo Urban Bistro and Coffee Bar",Buckeye
"Comfort Food",ed6RnUHJJlyFnhJpuiHpKg,"Azteca Mexican Restaurant",Charlotte
"Comfort Food",edb5OXaWJBl1zdGIS_0JYw,Culvers,Peoria
"Comfort Food",edC8euBdO5hxRHRs3RIvZg,McDonald's,Tempe
"Comfort Food",EDcyBB-DthAXOQzMSVfGPA,McDonald's,"Las Vegas"
"Southeast Asian",EDIhEegxgXva7jWoJzL1FA,"Pho King Food Truck",Scottsdale
"Comfort Food",EDIsSdoCnLbuQRQV2vMZ9Q,"Tacos El Nevado",Charlotte
"Comfort Food",EDJCvbklEbHU1e1sOfBreg,"Pita Pit","Las Vegas"
"Comfort Food",edjCywtqffQ8__vM7POZbw,Rubio's,Phoenix
"American and British",EdLw8Zx6ruzOVlvrEJsqJw,"The Great Taste of Chicago",Gilbert
"Comfort Food",EdLw8Zx6ruzOVlvrEJsqJw,"The Great Taste of Chicago",Gilbert
French,EdWB1S8d0VcLDHg4zzrxIw,"Aix en Provence",Charlotte
Italian,EdWB1S8d0VcLDHg4zzrxIw,"Aix en Provence",Charlotte
Spanish,EdWB1S8d0VcLDHg4zzrxIw,"Aix en Provence",Charlotte
"Comfort Food",EDwojVe8lD4dL7avz_V7vA,"Guedo's Taco Shop",Gilbert
"Japanese and Korean",EDYbHRasF02nTmoF65iIBQ,"Restaurant Sake",Saint-Eustache
"American and British",EdZRC5hANa8M9NxWVQk9Jg,"Waffle House",Charlotte
"Comfort Food",Ee-Y-wMNXq9T7ck_U0j42g,"Papa John's Pizza",Maricopa
Italian,EE14LUTGkw7NVcpP0d_x0A,"La Trattoria",Montréal
"Comfort Food",ee2JJWsou6UbakYRHEqxfg,"Bojangles' Famous Chicken 'n Biscuits",Charlotte
"Comfort Food",EE8u3qi8riVdLSh_wmcjEw,"Marco's Pizza","North Las Vegas"
"Comfort Food",ee9-nEWpDSPv2QO-xM_VTg,"Wesley's Delicatessen & Catering",Pittsburgh
Chinese,eEazUUm1R_GcZa1r461qmw,"China A Go Go",Henderson
"American and British",eeFOXbXG7hSQi1ETNeJ1ZQ,"Cactus Moon Sports Grill",Mesa
"Comfort Food",EeLiNCQL8JGxHjBi8N3lRw,"Erbert and Gerbert's","Sun Prairie"
"American and British",EemFk0x2E-vlPbnJDHfbxw,"The Underworld Grill & Bar","Las Vegas"
"American and British",eEMw81tZOYgW2xRX7o7W4g,"Sonoma Bistro",Charlotte
Chinese,een998lPp1vyRKxFN_syZA,"Kanda House",Pittsburgh
"Japanese and Korean",een998lPp1vyRKxFN_syZA,"Kanda House",Pittsburgh
"Southeast Asian",een998lPp1vyRKxFN_syZA,"Kanda House",Pittsburgh
Italian,Eeonj15SXvfR6kgvh8BOWw,"Lil Deemos Family Bistro",Glendale
"Comfort Food",EeQlS9VLlfWT25-MeYsJTg,Rubio's,Glendale
"Southeast Asian",EERx8ioBQnVoL4QmMPu6Yw,"La Saigonaise",Montréal
Italian,EesPq312CyRjmq08WIUXNw,"Cucina di Vita",Mesa
"American and British",eEU1XtdASLqdAGKg0QDNdg,"Original ChopShop Co.",Tempe
French,EEVgrbZXZAMUw0hm3WyA7Q,"The Crepe Club",Phoenix
"American and British",eeVoOZoa7huk09dfYga0eg,"Brewer's Cafe",Henderson
"Comfort Food",Eexp976MUmMDECm-r0BxTQ,"Novecento Pizzeria","Las Vegas"
Italian,Eexp976MUmMDECm-r0BxTQ,"Novecento Pizzeria","Las Vegas"
Chinese,eF3ckn8vFfP73cOZRDFykw,"Mandarin Express","Las Vegas"
"Comfort Food",EF5vR_UUavzPjtgMYFCg5Q,"Carlos' N' Charlie's","Las Vegas"
Halal,Ef8XRx6dntxfFgYXP_S61A,"Le Billot",Montréal
"Comfort Food",eFA9dqXT5EA_TrMgbo03QQ,"Crust Pizzeria & Ristorante",Phoenix
Italian,eFA9dqXT5EA_TrMgbo03QQ,"Crust Pizzeria & Ristorante",Phoenix
Chinese,EfbKXRj9PA1FCfU575bFnQ,"Tasty Station","Las Vegas"
"Comfort Food",EFCvuMgTXsLnd7eGkKsivA,"Pizza Fusion",Henderson
"American and British",eFC_lobFeLQSVitKUQ3tIA,"Fran's Place",Mesa
"Comfort Food",EFdIlV2mFFikS4UsdwbH6g,Subway,"Las Vegas"
Chinese,eFfoxuq2XiRlYftEN3YqTA,"Panda Express",Mesa
"Comfort Food",eFfoxuq2XiRlYftEN3YqTA,"Panda Express",Mesa
Spanish,EFHu5CxNSTDVAbCZqDpVqQ,"Pinq Taco",Montréal
"Comfort Food",eFIwRnbZpToIwWOYWWJ7nA,"Benny's Burgers & BBQ","Sun City"
"Comfort Food",EFJAVVBQQqftuqY5Wb3WtQ,"Villa Peru Restaurant",Tempe
"Comfort Food",efJQBC6yfKzUvn0Fk08vbw,"Cactus Grill",Champaign
Italian,EfmR4e1tmjC5_ZQOgfnYrg,"Roma Garden Ristorante",Phoenix
"American and British",EfMxJr-rWlXc7UlGkI0Y5w,"Monk's Bar & Grill","Sun Prairie"
"Comfort Food",EfMxJr-rWlXc7UlGkI0Y5w,"Monk's Bar & Grill","Sun Prairie"
"American and British",efsZLHcgEn7hKGB05B569Q,"Buffalo Wild Wings","Las Vegas"
"American and British",EFTjNyDBuA10JPAIm2-BCg,"Gallery Restaurant",Charlotte
Chinese,EFxaUHb6UwOpsvIIdZk-Ng,"China Harvest Buffet",Phoenix
"Comfort Food",EfXg0Bnv4RAbP4xfgxSiiw,"Brosenbrus Cafe",Tempe
"Japanese and Korean",efxuyL7ABgBbhgmSryvAZQ,Zen-Ya,Montréal
"Comfort Food",EfyrtoGJSjwiYoHIJy9iSA,"Jersey Mike's Subs",Charlotte
"American and British",eG3Kxpv-JOLib9o5W9Aiyw,"A Pig In a Fur Coat",Madison
Spanish,eG3Kxpv-JOLib9o5W9Aiyw,"A Pig In a Fur Coat",Madison
Halal,eg4nd09goZ8opkthsKgn5Q,"King Tut Cafe & Catering",Tempe
"Comfort Food",eg57kF41MBs5RC1vDDRk9Q,"Sonic Drive-In",Chandler
"Comfort Food",eGA9Apige-EZANvo2mIIBQ,"MOD Pizza",Goodyear
"American and British",EgAGF1eg2PkdDDlPzBwVfw,"Upper Deck Grill and Sports Lounge","Las Vegas"
"American and British",egaieBcnSZLYGl1N-_CtvQ,"Mark Greenaway",Edinburgh
Chinese,eGb0dnTT5mQA8BDYZUveLQ,"Hyakumi Japanese Restaurant & Sushi Bar","Las Vegas"
Italian,eGb0dnTT5mQA8BDYZUveLQ,"Hyakumi Japanese Restaurant & Sushi Bar","Las Vegas"
"Japanese and Korean",eGb0dnTT5mQA8BDYZUveLQ,"Hyakumi Japanese Restaurant & Sushi Bar","Las Vegas"
"American and British",eGevCRobYnA_HSj60sEWvQ,"Pita Jungle",Tempe
"Comfort Food",egewu6VzoA8uNG7IPmzmdA,"Presto Pizza & Wings",Phoenix
"Comfort Food",egGk5zPJIfgIwlDPjuaVaQ,"Dikadee's Deli",Charlotte
"Comfort Food",EGiGWZp_zSqdeftiFQ7MbA,"Cantina Laredo",Scottsdale
"Japanese and Korean",EgJaDh6PUnkQanbG7zjbLw,"Woo Che Asian Grill","Las Vegas"
"Comfort Food",EgJfkuMZbjqR58bZyju5Qw,"Slices Pizza","Las Vegas"
"Southeast Asian",egky1j0WUGf97EU4fGXLgw,"Little Bangkok In the Strip",Pittsburgh
Italian,EGNzJApWnrttPyv6RirhUA,"Pat and Waldo's",Phoenix
"American and British",eGOmHm6Yrqr2Dt0q-unmqA,"Howies Restaurant Scottish Cuisine",Edinburgh
"Comfort Food",eGopO76Gw-tTihBWpPqPFA,"Motor City Cafe","Las Vegas"
"Comfort Food",eGpMml6dvPc-umXge2hnXg,Flatbreadz,"Las Vegas"
"Comfort Food",egsdXJ5rJ8wiTEduM1quUQ,"Pasquale's Pizzeria",Pittsburgh
French,EGsNTiWG7ZxMUrskp4-wfQ,"Restaurant Miracle",Montréal
"Southeast Asian",EGzFpBmr3UdHnNgyC7jqdw,"Livraison Bombay Mahal Express",Montréal
"Comfort Food",egzyBV0dJh406LH7yQaXyA,"Taco Bell","Las Vegas"
"Comfort Food",EGzyDCtlBl348I_iZ7Xvmw,"Sucker-Punch Grill",Henderson
"Comfort Food",eG_GtDLVZ6vSSMYk4eDeFA,"Prima Pizza & Cafe","Las Vegas"
Chinese,eh480J34aBFwikOvwlZaNQ,"Loon Wah",Edinburgh
"Comfort Food",eh480J34aBFwikOvwlZaNQ,"Loon Wah",Edinburgh
"Comfort Food",EH7sT3dV-B365RETWCQhIA,"Dotty Dumpling's Dowry",Madison
"Comfort Food",ehaFMw4p0PNkkz-uW1RubQ,"Pâtisserie Cremino",Montréal
"American and British",ehaKxqZX0nn-rvFFhhL0hA,"Johnny Rockets","Las Vegas"
"Comfort Food",ehaKxqZX0nn-rvFFhhL0hA,"Johnny Rockets","Las Vegas"
"Japanese and Korean",EhBSVPbSw1pKE0gg4u2Kqg,"Watami Sushi & Sake Bar",Waterloo
"Comfort Food",Ehc4Ze59gyFjUBKARCmhcg,"Jimmy John's",Phoenix
"American and British",eHcpSwIiyFXhejtyQNy-Mw,"Classic Grille",Mesa
"Comfort Food",eHcpSwIiyFXhejtyQNy-Mw,"Classic Grille",Mesa
"Comfort Food",eHcQzL5eebqvKrLW5q283w,"Capriotti's Sandwich Shop",Scottsdale
"Comfort Food",eHC_xNrT1SkJyC2oncJlhw,"Asi Es La Vida",Phoenix
"Japanese and Korean",eHD1iu4B5yd_wj_uiSapzQ,"Xtreme Sushi","Las Vegas"
Italian,EhDKCRKvMPkPg9dXWgCzSg,Verona,Charlotte
"American and British",EHi-lebXGWjSktl4WvSoow,"Lon's At the Hermosa","Paradise Valley"
"American and British",ehmtix6CHtneuYXzbrSwYw,Nadine's,Pittsburgh
"Japanese and Korean",ehpI2R49yR6Yb4PgQeSrnA,"Koreana BBQ",Phoenix
"Southeast Asian",EHqChEfbeXbaDwzOACISxg,"Aachi Southindian Kitchen",Tempe
French,EhR_Tn49PKY5W0YWbxEPcg,"Angry Crab",Phoenix
Chinese,eHVU1C63xlsKm7XSgIAAOQ,"Lucky Cafe","Las Vegas"
"Comfort Food",Ehym62RBfmV7Ot7TMuAMRw,"Gourmet Laurier",Montréal
Chinese,EH_eLoNJy1ZGlQwNJ9n8jA,"Just Noodles",Montréal
"Comfort Food",eI7bKGWMMdOFf3Nxo6Q4jw,"Mariscos Mi Lindo Mazatlan",Phoenix
Italian,Ei7sdBVvNyem_SCxaAnPdA,"Luciano d'Orazio",Montréal
"American and British",EIb8hWJa1BT49GmHDvjuJg,"Kegs, Corks And Forks",Surprise
"American and British",EicgVkwjS3tUum7Ga3nzKA,"Cactus Jacks Saloon",Henderson
"Comfort Food",EiDgsniLJ_g-BsoHCiG_uA,"Libretto's Pizzeria",Charlotte
Italian,EiDgsniLJ_g-BsoHCiG_uA,"Libretto's Pizzeria",Charlotte
"Comfort Food",eIecLYBdl-uN_N8N0bQQHg,"Panera Bread",Glendale
"American and British",eihJZqHCEKMmzuPOOyqF9w,"Mulligans Bar & Grill","North Las Vegas"
"American and British",eIhmvoU0EoK7CdrBuXQfEw,"Rockin R Ranch",Mesa
"Comfort Food",EiJEtSnKswzgqhvMOufQHA,"Ricos Tacos","Las Vegas"
"Comfort Food",eiKbSyHojL6H487z0w9vzQ,"Capriotti's Sandwich Shop","Las Vegas"
"Comfort Food",EIMzIukKXlZq_0tz3SVPOQ,"Nathan's Famous","Las Vegas"
"Southeast Asian",eInPqZl-uobjndn_Mk6VvA,"Urban Turban","Las Vegas"
Spanish,eInPqZl-uobjndn_Mk6VvA,"Urban Turban","Las Vegas"
"American and British",EIRuE6R4EWv8AwD5sleNaQ,9091,"Las Vegas"
French,EIRWO8LORufGJL5qHK6yIA,"Maison Boulud",Montréal
"Comfort Food",EIshA1evDfCTcuI0dYUo7A,"Carlito's Burritos",Henderson
"Comfort Food",eixmo00M4t9DcbrOXoLWNw,Soderberg,Edinburgh
"Comfort Food",eIxSLxzIlfExI6vgAbn2JA,"Lobbys Burgers",Tempe
"Comfort Food",Eixtf79t1_ZKaC-7J2kAWg,"Pickles Pizza & Sandwich Emporium",Pittsburgh
"Southeast Asian",eIxU721q44-vQM-z6UJBbw,"New India Gate",Chandler
Spanish,eiYDLEWkGY6df3sb1z6evw,"Luna Lounge","Las Vegas"
"Comfort Food",eIYGhU8VSOJt_IqEjMhDLg,Bojangles,Harrisburg
"American and British",EIysqQxj2eFxQc3RNZ6slA,"City Tavern",Charlotte
"Comfort Food",Ej7C-K5yo7Gbb9S31OYu_w,"La Rouladerie",Montréal
"Comfort Food",EJ8glOkcXyplzCr5LiUSmQ,Subway,Henderson
Chinese,EJCIIIy4RghSG3Blsg9BrA,Cravings,Champaign
"American and British",ejcnzdNMYQpohnnhLPLtLw,"Spice Restaurant",Phoenix
"Comfort Food",EjdHWoYUsYIglMuFJFa4rg,"Charley's Grilled Subs",Phoenix
"Comfort Food",ejfy33R1avFm7oygL34uQg,"Elie's Deli",Phoenix
"American and British",EJHWMVmQHiv-2t7c6RV00w,"Blackfinn Ameripub",Charlotte
Spanish,EjJte9n1UmJak4SgkPEU4g,Santos,Montréal
"Comfort Food",eJpr6Ks8pr4bmvDVPTN-Xg,"Vermont Sandwich Co",Scottsdale
"Southeast Asian",eJRx47JHV40pW8wSlm3HCQ,"Rice Terraces",Edinburgh
"Comfort Food",ejS_lQteyzG6PR4gxZN-FQ,"Paradise Cantina","Las Vegas"
Italian,ejtVhXk9MdORE6lZxvejTg,"Cala Gonone",Weingarten
"Comfort Food",EjuLZsG1_UAn3aZ-l_Flfg,"Tropical Cafe Smoothies",Surprise
"Comfort Food",ejx--u68ruri_XQPylzNpw,"Lavelles Deli & Ice Cream Shoppe","San Tan Valley"
"Comfort Food",ejyk1JTIn_GFE7huvFse1A,"Fusion Burritos",Gilbert
"American and British",EK0Jlhk11QsDDK5od4_lLQ,"Sunny World",Mesa
Chinese,EK0Jlhk11QsDDK5od4_lLQ,"Sunny World",Mesa
"Comfort Food",eK6KGMKqU_4nB9RdayZD7Q,"Tee Pee Tap Room",Phoenix
"Southeast Asian",EkGPPkqPj4_MB-cJLZhw1Q,"Viet House",Madison
"American and British",ekguRa1QybpUaMHqc5vmAw,"Antars Sports Bistro",Phoenix
"Japanese and Korean",EkhrRWzevfFJc8Pm2dVPEA,"Mr. Sushi",Waterloo
"Comfort Food",ekHwmWNXW6etO4m1ZPWZ_w,"Villa Italian Kitchen",Phoenix
Italian,ekHwmWNXW6etO4m1ZPWZ_w,"Villa Italian Kitchen",Phoenix
Chinese,EKHY6QnNVcSV8URkDzukHA,"Chen's Wok",Pittsburgh
"Comfort Food",EkjNhGaNLMPjG2cMhdPnog,Subway,"Las Vegas"
"American and British",EKju94L6tR7kFO9Wthk6CQ,"Fox & Hound",Charlotte
"Japanese and Korean",eKLZiTmWRvw576D8LMHRPA,"Kojan Bistro",Mattews
"American and British",EkO-rwvMQBthDqIhKf24dg,"Red Lobster",Mesa
Chinese,eKp-9MlaM2Uclfdtf1dM-A,"Sukho Thai",Laval
"Southeast Asian",eKp-9MlaM2Uclfdtf1dM-A,"Sukho Thai",Laval
"Comfort Food",eKp012jNe4LL6q7YRfAXWQ,"Grange Takeaway",Edinburgh
"American and British",EkPUckueKj5IMVGb6MguVA,"Royal Cafe","Sun City"
"Comfort Food",EKR3hv8vhML4xbkp9Hf9mQ,"In-N-Out Burger","Las Vegas"
"Comfort Food",EKRhhgYekI7hrYyiTZFhSQ,"Lady D's Pizzeria","Las Vegas"
Chinese,ekRwCkp1nS1hsbXLAOiPzw,"Panda Express",Champaign
"Comfort Food",ekRwCkp1nS1hsbXLAOiPzw,"Panda Express",Champaign
"Comfort Food",EKTI4-C3DhOXAH4nQkXSVQ,Subway,Charlotte
Italian,EKTqp9HjiFMOT6soOUbtJg,"San Lorenzo Ristorante",Pittsburgh
"Comfort Food",EKVrH21lOIRrXdLf-Dt5RQ,"Chipotle Mexican Grill",Phoenix
"Comfort Food",ekxk7r-l09ZmSz9OtBh69A,"Donatos Pizza","Tega Cay"
Chinese,eKzME8Ax_RHe1f0YmXD8tg,"China Garden",Urbana
"American and British",EKzMHI1tip8rC1-ZAy64yg,"House of Tricks",Tempe
"Southeast Asian",eL1IZGEWOZTbxdcqqgZjfw,"Ben Thanh",Kitchener
"Southeast Asian",El6fv45PRpTnI4OnAqQHdA,"Sukhothai Bistro",Pittsburgh
"Japanese and Korean",eL7RUC_jGRLBkmkvFqkAlQ,"Paldo Market",Tempe
French,ela9Je2E3cvqKKA8n9jZMg,"Restaurant Renoir",Montréal
"Southeast Asian",ELbBgsX1rccs9ZZ9c9p9PA,"Krua Thai",Karlsruhe
"Comfort Food",ELDBfzyUWqME873h-_RcWA,Subway,Henderson
"Southeast Asian",ELFgjsfhfy8plr7g_ouyMg,"Biryani Kitchens",Chandler
Chinese,EljtR0HL1PSNjm2CebisoA,"Hope Kee",Peoria
"Japanese and Korean",eLPld7Q17XxlclFGzZQX5g,"Yama Sushi","Las Vegas"
Chinese,elq4hC3DCRIgpX-OZEJo0g,"Oriental House",Peoria
"Comfort Food",ElqD819zpmOryvsLuzv-Mw,"Paradise Bakery and Cafe",Chandler
"Comfort Food",ELst29wwfiIddhZ16MkOrA,"Long John Silver's","Las Vegas"
"Southeast Asian",elstmdus1x-alE3RvVP9DQ,"Maison Indian Curry",Montréal
"Comfort Food",ElTdljGpkETYZIYegTK9JA,"Frite Alors",Montréal
French,ElTdljGpkETYZIYegTK9JA,"Frite Alors",Montréal
"American and British",eltTG6JOr9cg5FRAgGy8Jw,"Phoenix Public Market Cafe",Phoenix
"Japanese and Korean",ElTXBTRhunxD8iIpO4HEgA,"Pika Japanese Express",Charlotte
"Comfort Food",elU0eZTbsyD4kRtsDurl3w,Beanscene,Edinburgh
"Comfort Food",elw-ZkWbm0UQRNw4a4lnig,"No Què No!   Mexican Grill",Scottsdale
Chinese,eLwTnV0_d8A15wlbrG7pQw,"The Little Kitchen Cafe","Las Vegas"
"Comfort Food",elwuxXreWA3IVAW5qNOw3g,"Jimmy John's",Urbana
"Comfort Food",elX-wEdhFR8Kg1Ngj4hdNQ,"Original Tommy's","Las Vegas"
"Comfort Food",elXBwN1tvneVVIfFOJyK-Q,"Papa John's Pizza","Mint Hill"
"Comfort Food",Elz8GuWH-aMvpDlMkcDbkQ,"Bravo Pizzaria",Laval
"American and British",El_0LAdJ1R0-nL_lHzBT-g,"New York Bagels 'N Bialys",Scottsdale
"Southeast Asian",em3gydy9BgDBzMTmhKpt5A,"White Rabbit Cafe 2","Las Vegas"
"Japanese and Korean",Em8zrIuxwBXnIZMDMreErQ,"Yasda Bento",Phoenix
Spanish,EMD6yobRZBdHc6xeXRj4aA,"La Sala Rossa",Montréal
